id,text,source,created_at,place
8.22957E+17,Soros has ties to 50+ ‰Û÷partners‰Ûª of the Women‰Ûªs March https://t.co/Dqd3KWiBhG @SpecialReport #WattersWorld @JudgeJeanine @AnnCoulter #MAGA,Twitter Web Client,1/21/17 23:58,
8.22957E+17,"@WhiteHouse #MAGA with the #BlueStreak #highspeedrail, Sir. @realDonaldTrump @POTUS https://t.co/uZT2eyldi8",Twitter for iPhone,1/21/17 23:58,
8.22957E+17,"hey folks, now that #MAGA is off and running. WE should learn some economic terms. https://t.co/3E9VLNCeJz",Twitter Web Client,1/21/17 23:58,
8.22957E+17,Petition the White House on the Issues that Matter to You | #WethePeople: Your Voice in Our Government https://t.co/v55BrGSN6N #Trump #MAGA,Twitter Web Client,1/21/17 23:58,
8.22957E+17,The #GOP voice silenced by truth. #WomensMarch #maga,Twitter for iPhone,1/21/17 23:58,
8.22957E+17,Why are you wandering so off field?  Changing goal posts or what... she's a cold hearted bitch and so glad she's no‰Û_ https://t.co/2hiHxaEFwa,Twitter Web Client,1/21/17 23:58,
8.22957E+17,They str!pp3d me and touched my pr!v@t3s - DOREEN BIRA narrat https://t.co/AOqzH9UDPR #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,1/21/17 23:58,
8.22957E+17,because I don't think @chelseahandler can count any higher than that. #womensmarch #maga https://t.co/U4VrMuPJF6,Twitter for iPad,1/21/17 23:58,
8.22957E+17,".@CNN @wolfblitzer @JohnKingCNN ""NO PATH TO 270 ..."" Oops ... #fakenews #AmericaFirst #MAGA",Twitter for iPhone,1/21/17 23:58,
8.22957E+17,@Scaramucci @POTUS When provoked &amp; attacked. Radical Liberal Idiots think they can get away with it &amp; one totally cannot let them!!! #MAGA _Ùªè,Twitter for Android,1/21/17 23:58,
8.22957E+17,@WhiteHouse @realDonaldTrump @POTUS _ÙÕ__Ùà__Ùàü‰ù_•üè_ÙÕ_#MAGA Classy new President_ÙÕ_ _ÙÔè_ÙÔè_ÙèÈ_ÙÔè_ÙèÀ GOD BLESS AMERICA,Twitter for iPhone,1/21/17 23:58,
8.22957E+17,"After so many BJs for Hillary win... no surprise _Ù÷â#MAGA #Inauguration https://t.co/2sy7zN2AA6",Twitter Web Client,1/21/17 23:58,
8.22957E+17,Our new First Lady's first Tweet! Show Melania some love! @FLOTUS @POTUS #MAGA #TrumpTrain https://t.co/aZtq8zQvAE,Twitter Web Client,1/21/17 23:58,
