location,crowd-low-estimate,crowd-high-estimate,mean-high-low,source,Latitude,Longitude
"Hilo, HI","1,500",2200,1850,http://www.hawaiitribune-herald.com/news/local-news/heeding-rallying-call-more-1000-attend-hilo-women-s-march,0,0
"Hillsborough, NC",200,200,200,Herald Sun,45.458397,-122.977963
"Homer, AK",900,900,900,FB,59.6425,-151.54833
Honolulu (Oahu) HI,"3,000","8,000",5500,http://www.staradvertiser.com/2017/01/21/breaking-news/thousands-march-around-state-capitol-in-show-of-solidarity/,24.859832,-168.021815
Hood River,,,,,45.7054,-121.52146
"Houghton, MI",500,500,500,http://www.uppermichiganssource.com/content/news/Houghton-marchers-for-womens-rights-411431685.html,33.953352,-86.745469
"Houston, TX","20,000","22,000",21000,http://www.chron.com/news/houston-texas/article/Tweets-from-the-Houston-Women-s-march-10873983.php,29.813142,-95.309789
"Hudson, NY","2,000","3,000",2500,http://m.registerstar.com/news/article_d498a278-e054-11e6-a01b-dfe6701814de.html?mode=jqm,28.382489,-82.64803
Huntsville,,,,,34.718428,-86.556439
"Idaho Falls, ID",500,500,500,http://www.eastidahonews.com/2017/01/500-people-attend-womens-march-idaho-falls/,44.302099,-114.595628
"Indiana, PA",100,200,150,http://wdadradio.com/downtown-indiana-site-of-march-connected-to-dc-march-for-women/,39.903026,-86.28395
"Indianapolis, IN","4,000","10,000",7000,https://twitter.com/rafkhach/status/822930702643720193,39.775092,-86.13216
"Inverness, CA",5,5,,FB,42.106323,-88.064363
"Iowa City, IA","1,000","1,000",1000,http://www.desmoinesregister.com/story/news/2017/01/21/nearly-1000-people-join-womens-march-iowa-city/96889784/,42.070024,-93.493347
Issaquah,56,56,56,FB,47.497419,-122.010699
"Ithaca, NY","10,000","10,000",10000,https://twitter.com/cornellsun/status/822868186672537602,42.402794,-76.483999
"Jackson, NH",,,,,32.289656,-90.184201
"Jackson, MS",750,5000,2875,https://twitter.com/FBrownWilliams/status/823037789113565184,32.289656,-90.184201
"Jackson Hole, WY","1,000","1,000",1000,http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/,32.289656,-90.184201
"Jacksonville, FL","2,000","3,000",2500,http://jacksonville.com/metro/2017-01-09/local-marchers-show-solidarity-national-women-s-protest,30.337538,-81.768622
"Jerome, AZ",85,100,92.5,onsite headcount via google form,42.736869,-114.374568
"Jonesborough, TN",1000,1000,1000,http://www.johnsoncitypress.com/gallery/Women-s-March-in-Jonesborough-GALLERY,35.835847,-90.623071
"Joseph, OR",310,310,310,FB,45.406071,-117.073337
"June Lake, CA",,,,,37.78854,-119.07459
"Juneau, AK",1000,1000,1000,http://juneauempire.com/slideshow/news/2017-01-21/slideshow-juneau-marches-force#slide-1,58.373561,-134.523946
"Kalamazoo, MI","1,000","1,000",1000,http://www.mlive.com/news/kalamazoo/index.ssf/2017/01/more_than_1000_people_march_in.html,40.100924,-83.013402
"Kanab, UT",175,175,175,FB,18.433757,-66.114752
"Kansas City, MO","10,000","10,000",10000,FB,38.498546,-98.38343
"Kauai, HI",,,,see Lihue,20.929444,-156.371111
"Kawaihae, HI",50,50,50,http://bigislandnow.com/2017/01/21/na-wahine-for-womens-rights-march-on-the-water/,20.041111,-155.830556
"Keene, NH",300,300,300,http://www.sentinelsource.com/news/local/area-march-draws-crowd-of-more-than/article_7de8951d-180d-5791-b3ba-c1e623115227.html,40.605382,-73.755133
"Kennbunk, ME",400,700,550,"eyewitness acct
",43.38409,-70.54419
"Kent, CT",180,180,180,https://twitter.com/jahansell/status/823009339174780928,0,0
"Kent, OH",100,100,100,https://twitter.com/KabirBhatiaTime/status/822899486171234305,0,0
"Ketchikan, AK",150,200,175,https://twitter.com/polarscribe/status/822999640291184640,55.400674,-131.67409
"Ketchum, ID","1,150","1,150",1150,http://www.kmvt.com/content/news/More-than-1000-people-march-for-womens-rights-in-Ketchum-411436945.html,43.669159,-114.485781
"Key West, FL","3,200","3,200",3200,http://wlrn.org/post/thousands-march-key-west-sea-sea,24.561353,-81.909735
"Killington, VT",,,,,35.287754,-94.883911
"King's Beach, CA",,,,,39.24886,-120.0202
"Kingston, WA",60,60,60,http://www.kitsapdailynews.com/news/group-engages-in-civil-informationing-in-support-of-womens-march/,41.96973,-74.06678
"Klamath Falls, Oregon",300,300,300,https://twitter.com/dawnalbright/status/823006341987827713,42.293293,-121.816873
"Knoxville, TN","2,000","2,000",2000,FB,36.032334,-83.884804
"Kodiak, AK",,,,FB group,57.613209,-153.403556
"Kona, HI","3,000","3,500",3250,Big Island Video News,0,0
"Kotzebue, AK",,,,,66.865256,-161.780844
"La Crosse, WI",,100,50,FB,33.973951,-118.248405
"La Grande, OR",,,,,33.973951,-118.248405
Lafayette,50,75,62.5,eyewitness,30.24171,-91.991044
"Lafayette, IN",800,"1,000",900,jconline,30.24171,-91.991044
"Laguna Beach, CA","3,500","3,500",3500,FB,33.520941,-117.741315
"Lakeside, OH",300,300,300,http://www.sanduskyregister.com/story/201701210015,32.82235,-97.493355
"Lakeville, CT",85,100,92.5,eyewitness,44.633421,-93.25812
"Lancaster, NH",400,400,400,FB,34.713292,-118.15292
"Lancaster, PA",100,100,100,http://lancasteronline.com/news/local/hundreds-rally-in-penn-square-for-women-s-rights/article_5dcec858-dfe5-11e6-b8fe-4368bfd596b1.html,34.713292,-118.15292
"Lander, WY",350,350,350,https://twitter.com/thecarie/status/823042373030547456,30.583474,-97.857453
"Langley, WA","1,300","1,300",1300,FB,33.51791,-81.844
"Lansing, MI","10,000","10,000",10000,https://twitter.com/MIRSnews/status/822939639774400514,42.599184,-84.371973
"Laramie, WY",,,,,41.43902,-105.801022
"Las Cruces, NM",100,100,100,http://www.kvia.com/news/top-stories/hundreds-gather-in-downtown-el-paso-for-womens-march/284730114,32.290052,-106.753893
"Las Vegas, NV",5000,"15,000",10000,https://thenevadaindependent.com/article/thousands-expected-protest-trump-reno-las-vegas,36.17372,-115.10647
"Las Vegas, NM",50,50,50,FB,36.17372,-115.10647
"Leonia, NJ",100,100,100,http://www.northjersey.com/story/news/local/2017/01/21/local-womens-marches-draw-far-larger-crowds-than-expected/96778300/,42.461246,-70.946743
"Lexington, KY",5000,5000,5000,https://twitter.com/lexkypolice/status/822907799084683264,38.037847,-84.61645
"Lewis, NY",,,,https://www.facebook.com/events/244926602586263/,38.77456,-75.13935
"Lewisburg, PA",150,200,175,FB (people on site),35.504165,-86.792003
Lihue (Kauai) HI,"1,500","1,500",1500,http://thegardenisland.com/news/local/attend-sign-waving-event-support-women-s-march-on-washington/article_d7188a0b-7d09-5afe-9c33-0f2e80244eda.html,21.97583,-159.35479
"Lilly, PA",4,4,4,FB,46.7454,-114.299241
"Lincoln, NE","3,000","4,000",3500,http://journalstar.com/news/local/thousands-show-up-to-support-women-s-march-on-lincoln/article_2e87f297-d977-504f-b240-0f9946a37c68.html,40.865142,-96.823133
"Little Rock, AR","7,000","7,000",7000,http://www.arkansasonline.com/news/2017/jan/21/hundreds-march-street-state-capitol-downtown-littl/?news-arkansas,34.746905,-92.280049
"Logan, UT",,,,,41.717722,-111.836493
"Los Angeles, CA","200,000","750,000",475000,http://www.latimes.com/local/lanow/la-me-womens-march-los-angeles-20170121-story.html,33.973951,-118.248405
"Lompoc, CA",,,,,34.629464,-120.336594
"Longview, WA",200,200,200,http://tdn.com/news/local/longview-women-s-march-draws-around-people/article_824ee3c7-2905-5688-a146-148ce860874e.html,32.517846,-94.730285
"Longville, MN",67,67,67,https://twitter.com/curatress/status/822996713979912192,40.806849,-74.794595
"Louisville, KY","5,000","5,000",5000,http://www.courier-journal.com/story/news/politics/2017/01/21/local-activists-call-social-justice/96676446/,38.188962,-85.676819
"Loup City, NE",100,150,125,http://www.nbcneb.com/content/news/March-for-equality-takes-place-in-central-Nebraska-411432745.html,41.276435,-98.966954
"Lubbock, TX",350,350,350,http://lubbockonline.com/local/2017-01-21/hundreds-protest-lubbock-women-s-march,33.588771,-101.850445
"Lubec, ME",95,95,95,FB,33.588771,-101.850445
"Mt. Shasta, CA",400,400,400,http://www.mtshastanews.com/photogallery/CA/20170121/PHOTOGALLERY/121009998/PH/1,47.051177,-109.634817
"Mt. Laurel, NJ",20,20,20,https://twitter.com/KaraLogan21/status/823293332520632320,47.051177,-109.634817
"Madison, WI","75,000","100,000",87500,http://www.channel3000.com/news/mpd/284567959,43.06956,-89.423861
"Mankato, MN",50,50,50,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights,44.128325,-93.978863
"Marfa, TX",76,76,76,Twitter,38.490332,-90.487066
"Martha's Vineyard, MA",100,100,100,http://www.mvtimes.com/2017/01/21/photos-womens-march-five-corners/,41.458594,-70.61592
"Marquette, MI",200,800,500,http://www.miningjournal.net/uncategorized/2017/01/hundreds-rally-for-womens-march-in-marquette/,26.244526,-80.206436
"Marquette, WI",200,300,250,FB,26.244526,-80.206436
"Maryville, IL",40,50,45,https://twitter.com/Pretty_pittie/status/823328254014668800,35.688378,-84.076895
"Kahului, Maui, HI","1,500",2000,1750,http://mauitime.com/news/politics/photos-of-todays-womens-march-on-maui/,20.883783,-156.462641
"Mayaguez, PR",,,,,18.181938,-67.133802
"McMinnville, OR",700,700,700,FB,45.187444,-123.237145
"Melbourne/Brevard County, FL",500,500,500,FB,35.174351,-82.753971
"Memphis, TN","3,000","9,000",6000,https://t.co/unaoHXpGUT,35.169255,-89.990415
"Menomonie, WI",200,200,200,https://twitter.com/trayf/status/823044387668193280,44.867809,-91.943198
"Mentone, AL",50,50,50,FB,46.71312,-100.952585
"Merrill, MI",,,,,45.217518,-89.713291
"Miami, FL","10,000","10,000",10000,http://www.miamiherald.com/news/local/community/miami-dade/article127925999.html,25.558428,-80.458168
"Miami Beach, FL",,,,,25.558428,-80.458168
"Midland, MI",400,400,400,http://www.mlive.com/news/saginaw/index.ssf/2017/01/midland_march.html,31.992384,-102.081464
"Midland, TX",50,50,50,cbs 7 midland,31.992384,-102.081464
"Miles City, MT",,,,,46.447808,-105.795343
"Milhelm, PA",50,50,50,FB,0,0
"Milwaukee, WI","1,000","1,000",1000,http://www.cbs58.com/story/34314179/hundreds-hit-the-streets-of-milwaukee-for-womens-march-on-washington,43.011264,-87.958409
"Minneapolis, MN",,,,"See St Paul, MN (also see 1/20)",44.984577,-93.269097
"Minocqua, WI",300,300,300,FB,45.827583,-89.824294
"Minturn, CO",6,6,6,FB,38.94266,-76.967057
"Missoula, MT",80,110,95,http://www.kpax.com/story/34315123/womens-march-takes-to-montanas-capitol-with-huge-crowd,46.856398,-114.014338
"Moab, UT",200,200,200,https://twitter.com/mmrj_tweet/status/822963369577615360,38.5804,-109.54019
"Mobile, AL",900,"1,000",950,FB (report from on site),30.701142,-88.103184
"Modesto, CA",900,900,900,http://www.modbee.com/news/article128034159.html,37.669463,-121.016796
"Mooresville, NC",70,70,70,http://www.mooresvilletribune.com/news/marching-to-make-a-point/article_f3388eee-e02e-11e6-a716-fb8d63c948f4.html,48.049576,-122.161951
Monhegan Island,22,22,22,email,46.73107,-93.95803
"Montpelier, VT","15,000","20,000",17500,http://www.burlingtonfreepress.com/story/news/2017/01/21/montpelier-womens-march-draws-7000/96888920/,32.847273,-79.820563
"Monterey Bay, CA","1,500","1,500",1500,http://www.montereyherald.com/social-affairs/20170121/womens-march-csumb-thousands-protest-trump,35.7423,-90.56233
"Morganton, NC",500,500,500,http://www.morganton.com/townnews/politics/a-call-for-equality-demonstrators-converge-on-downtown-in-support/article_250317d0-e018-11e6-97d8-5fd6a7377b4b.html#utm_source=morganton.com&utm_campaign=%2Fnewsletter%2Fbreaking%2F&utm_medium=email&utm_content=image,39.609911,-79.983141
"Morris, MN",250,250,250,Morris Tribune,41.337433,-88.430183
"Moscow, ID","2,500","2,500",2500,https://www.facebook.com/events/667336173434890/,46.735334,-116.870147
"Mount Vernon, OH",20,30,25,via email (JP),42.773711,-72.520166
"Mount Vernon, WA",200,200,200,https://www.goskagit.com/news/young-and-old-take-on-downtown-mount-vernon-for-women/article_d216fe5e-24a5-5606-9e21-706c1db3ff2f.html/#utm_source=goskagit.com&utm_campaign=related-by-section&utm_medium=direct&utm_term=young%20and%20old%20take%20on%20downtown%20mount%20vernon%20for%20women%27s%20march,42.773711,-72.520166
"Murfreesboro, TN",,,,,35.762951,-86.372158
"Murray, KY",700,700,700,http://wkms.org/post/hundreds-join-march-equality-and-social-justice-murray,40.666892,-111.887991
"Nacogdoches, TX",200,300,250,FB,31.558383,-94.504452
"Nantucket, MA",400,400,400,http://www.ack.net/news/20170121/your-nantucket-womens-march-photos-wanted,41.287647,-70.08665
"Napa, CA","3,000","3,000",3000,http://napavalleyregister.com/news/local/napa-women-s-march-spreads-message-of-love-hope-solidarity/article_53aae273-59e4-5b49-ab51-3e4a13a6e729.html,0,0
"Naples, FL","2,500","5,000",3750,http://www.nbc-2.com/story/34313013/womens-march-on-dc-echoed-in-naples,26.032137,-81.761821
"Nashville, TN","15,000","20,000",17500,https://twitter.com/Killingcrawdads/status/822924062213210112,36.02049,-77.982782
